species,value,species_mod,aphia_id,sens
Acteocina culcitella,2,Acteocina culcitella,581396,AZTI
Acteocina eximia,2,Acteocina eximia,581397,AZTI
Acteocina harpa,2,Acteocina harpa,581398,AZTI
Acteocina inculta,2,Acteocina inculta,575018,AZTI
Acteocina involuta,2,Acteocina involuta,828551,AZTI
Acteocina koyasensis,1,Acteocina koyasensis,994262,AZTI
Acteocina oryza,3,Acteocina oryza,160064,AZTI
Acteocina sp.,2,Acteocina,137866,AZTI
Acteon biplicatus,1,Acteon biplicatus,1348841,AZTI
Acteon delicatus,1,Acteon delicatus,420511,AZTI
Acteon elongatus,1,Acteon elongatus,532345,AZTI
Acteon elongatus,1,Acteon elongatus,1023791,AZTI
Acteon sp.,1,Acteon,137618,AZTI
Acteon tornatilis,1,Acteon tornatilis,138691,AZTI
Acteon vagabundus,1,Acteon vagabundus,715566,AZTI
ACTEONIDAE,1,ACTEONIDAE,155,AZTI
Acteonina sp.,1,Acteonina,567013,AZTI
Actinauge richardi,0,Actinauge richardi,100930,AZTI
Actinia equina,1,Actinia equina,100803,AZTI
ACTINIARIA,2,ACTINIARIA,1360,AZTI
ACTINIIDAE,2,ACTINIIDAE,100653,AZTI
Actinocythereis dunelmensis,1,Actinocythereis dunelmensis,772698,AZTI
Actinostola sp.,2,Actinostola,100709,AZTI
Actinostreum gregareum,2,Actinostreum gregareum,NA,AZTI
Acuminodeutopus heteruropus,2,Acuminodeutopus heteruropus,557429,AZTI
Acuminodeutopus naglei,1,Acuminodeutopus naglei,421566,AZTI
Adamsia carciniopados,2,Adamsia carciniopados,100931,AZTI
Adamsia palliata,2,Adamsia palliata,445590,AZTI
Adamussium colbecki,1,Adamussium colbecki,197021,AZTI
Admete viridula,1,Admete viridula,138969,AZTI
Adontorhina cyclia,2,Adontorhina cyclia,582532,AZTI
Adula diegensis,2,Adula diegensis,505932,AZTI
Adyte pellucida,2,Adyte pellucida,146894,AZTI
Adyte sp.,2,Adyte,129475,AZTI
Aedicira mediterranea,2,Aedicira mediterranea,130546,AZTI
Aedicira sp.,2,Aedicira,129429,AZTI
Aeginoides gaussi,2,Aeginoides gaussi,237031,AZTI
Aegires albopunctatus,1,Aegires albopunctatus,531071,AZTI
Aeolidia papillosa,1,Aeolidia papillosa,138709,AZTI
Aeolidia sp.,1,Aeolidia,137630,AZTI
Aequipecten opercularis,1,Aequipecten opercularis,140687,AZTI
Aequipecten sp.,1,Aequipecten,138313,AZTI
Aequiyoldia eightsii,4,Aequiyoldia eightsii,868255,AZTI
Aesopus aliciae,1,Aesopus aliciae,511659,AZTI
Aetea anguina,0,Aetea anguina,111062,AZTI
Aetea sica,0,Aetea sica,111066,AZTI
Afruca tangeri,2,Afruca tangeri,955160,AZTI
Agladrillia fuegiensis,1,Agladrillia fuegiensis,432599,AZTI
Aglaja ocelligera,1,Aglaja ocelligera,581409,AZTI
Aglaja sp.,1,Aglaja,137637,AZTI
Aglaophamus agilis,2,Aglaophamus agilis,130343,AZTI
Aglaophamus californiensis,2,Aglaophamus californiensis,NA,AZTI
Aglaophamus circinata,2,Aglaophamus circinata,157145,AZTI
Aglaophamus dibranchis,1,Aglaophamus dibranchis,332892,AZTI
Aglaophamus dicirris,2,Aglaophamus dicirris,326231,AZTI
Aglaophamus gippslandicus,2,Aglaophamus gippslandicus,326238,AZTI
Aglaophamus lobatus,2,Aglaophamus lobatus,326243,AZTI
Aglaophamus macroura,2,Aglaophamus macroura,173673,AZTI
Aglaophamus malmgreni,2,Aglaophamus malmgreni,130344,AZTI
Aglaophamus peruana,2,Aglaophamus peruana,332900,AZTI
Aglaophamus pulcher,2,Aglaophamus pulcher,547398,AZTI
